Count,Code,Browser,B&W*,Apple,Andr,Twit,Wind,GMail,DCM,KDDI,SB,Name,Version,Default,Annotations
70,U+1F608,😈,,,,,,missing,missing,missing,missing,smiling face with horns,V6.0ˣ,emoji,"face, fairy tale, fantasy, horns, person, smile"
71,U+1F466,👦,,,,,,,missing,missing,,boy,V6.0ʲ,emoji,"boy, person"
72,U+1F467,👧,,,,,,,missing,missing,,girl,V6.0ʲ,emoji,"girl, maiden, person, virgin, virgo, zodiac"
73,U+1F468,👨,,,,,,,missing,,,man,V6.0ʲ,emoji,"man, person"
74,U+1F469,👩,,,,,,,missing,,,woman,V6.0ʲ,emoji,"person, woman"
75,U+1F474,👴,,,,,,,missing,,,older man,V6.0ʲ,emoji,"man, old, person"
76,U+1F475,👵,,,,,,,missing,,,older woman,V6.0ʲ,emoji,"old, person, woman"
77,U+1F476,👶,,,,,,,missing,,,baby,V6.0ʲ,emoji,"baby, person"
78,U+1F471,👱,,,,,,,missing,,,person with blond hair,V6.0ʲ,emoji,"blond, person"
79,U+1F46E,👮,,,,,,,missing,,,police officer,V6.0ʲ,emoji,"cop, officer, person, police"
80,U+1F472,👲,,,,,,,missing,,,man with gua pi mao,V6.0ʲ,emoji,"gua pi mao, hat, man, person"
81,U+1F473,👳,,,,,,,missing,,,man with turban,V6.0ʲ,emoji,"man, person, turban"
82,U+1F477,👷,,,,,,,missing,,,construction worker,V6.0ʲ,emoji,"construction, hat, person, worker"
83,U+26D1,⛑,,missing,missing,missing,missing,missing,missing,missing,missing,helmet with white cross,V5.2ª,text,"aid, cross, face, hat, helmet, person"
84,U+1F478,👸,,,,,,,missing,,,princess,V6.0ʲ,emoji,"fairy tale, fantasy, person, princess"
85,U+1F482,💂,,,,,,,missing,missing,,guardsman,V6.0ʲ,emoji,"guard, guardsman, person"
86,U+1F385,🎅,,,,,,,missing,,,father christmas,V6.0ʲ,emoji,"activity, celebration, christmas, fairy tale, fantasy, father, person, santa"
87,U+1F47C,👼,,,,,,,missing,,,baby angel,V6.0ʲ,emoji,"angel, baby, face, fairy tale, fantasy, person"
88,U+1F575,🕵,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,sleuth or spy,V7.0ʷ,text,"person, sleuth, spy"
89,U+1F46F,👯,,,,,,,missing,,,woman with bunny ears,V6.0ʲ,emoji,"bunny, dancer, ear, girl, person, woman"
90,U+1F486,💆,,,,,,,missing,,,face massage,V6.0ʲ,emoji,"massage, person, salon"
91,U+1F487,💇,,,,,,,missing,,,haircut,V6.0ʲ,emoji,"barber, beauty, haircut, parlor, person"
92,U+1F470,👰,,,,,,,missing,,missing,bride with veil,V6.0ʲ,emoji,"bride, person, veil, wedding"
93,U+1F64D,🙍,,,,,,,missing,,missing,person frowning,V6.0ʲ,emoji,"frown, gesture, person"
94,U+1F64E,🙎,,,,,,,missing,,missing,person with pouting face,V6.0ʲ,emoji,"gesture, person, pouting"
95,U+1F645,🙅,,,,,,,missing,,,face with no good gesture,V6.0ʲ,emoji,"forbidden, gesture, hand, no, not, person, prohibited"
96,U+1F646,🙆,,,,,,,missing,,,face with ok gesture,V6.0ʲ,emoji,"gesture, hand, ok, person"
97,U+1F481,💁,,,,,,,missing,missing,,information desk person,V6.0ʲ,emoji,"hand, help, information, person, sassy"
98,U+1F64B,🙋,,,,,,,missing,,missing,happy person raising one hand,V6.0ʲ,emoji,"gesture, hand, happy, person, raised"
99,U+1F647,🙇,,,,,,,missing,,,person bowing deeply,V6.0ʲ,emoji,"apology, bow, gesture, person, sorry"
100,U+1F64C,🙌,,,,,,,missing,,,person raising both hands in celebration,V6.0ʲ,emoji,"body, celebration, gesture, hand, hooray, person, raised"
101,U+1F64F,🙏,,,,,,,missing,,,person with folded hands,V6.0ʲ,emoji,"ask, body, bow, folded, gesture, hand, person, please, pray, thanks"
102,U+1F5E3,🗣,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,speaking head in silhouette,V7.0ʷ,text,"face, head, person, silhouette, speak, speaking"
103,U+1F464,👤,,,,,,,,missing,missing,bust in silhouette,V6.0ʲ,emoji,"bust, person, silhouette"
104,U+1F465,👥,,,,,,missing,missing,missing,missing,busts in silhouette,V6.0ˣ,emoji,"bust, person, silhouette"
105,U+1F6B6,🚶,,,,,,,missing,,,pedestrian,V6.0ʲ,emoji,"hike, pedestrian, person, walk, walking"
106,U+1F3C3,🏃,,,,,,,,,,runner,V6.0ʲ,emoji,"marathon, person, runner, running"
107,U+1F483,💃,,,,,,,missing,,,dancer,V6.0ʲ,emoji,"dancer, person"
108,U+1F574,🕴,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,man in business suit levitating,V7.0ʷ,text,"business, man, person, suit"
109,U+1F48F,💏,,,,,,,missing,,,kiss,V6.0ʲ,emoji,"couple, kiss, person, romance"
110,U+1F491,💑,,,,,,,missing,,,couple with heart,V6.0ʲ,emoji,"couple, heart, love, person, romance"
111,U+1F46A,👪,,,,,,,missing,,missing,family,V6.0ʲʷ,emoji,"child, family, father, mother, person"
112,U+1F46B,👫,,,,,,,missing,missing,,man and woman holding hands,V6.0ʲ,emoji,"couple, hand, hold, man, person, woman"
113,U+1F46C,👬,,,,,,missing,missing,missing,missing,two men holding hands,V6.0ˣ,emoji,"couple, gemini, hand, hold, man, person, twins, zodiac"
114,U+1F46D,👭,,,,,,missing,missing,missing,missing,two women holding hands,V6.0ˣ,emoji,"couple, hand, hold, person, woman"
115,U+1F3FB,🏻,,,missing,missing,,missing,missing,missing,missing,emoji modifier fitzpatrick type-1-2,V8.0ˣ,emoji,"emoji modifier, fitzpatrick, skin, symbol, tone"
116,U+1F3FC,🏼,,,missing,missing,,missing,missing,missing,missing,emoji modifier fitzpatrick type-3,V8.0ˣ,emoji,"emoji modifier, fitzpatrick, skin, symbol, tone"
117,U+1F3FD,🏽,,,missing,missing,,missing,missing,missing,missing,emoji modifier fitzpatrick type-4,V8.0ˣ,emoji,"emoji modifier, fitzpatrick, skin, symbol, tone"
118,U+1F3FE,🏾,,,missing,missing,,missing,missing,missing,missing,emoji modifier fitzpatrick type-5,V8.0ˣ,emoji,"emoji modifier, fitzpatrick, skin, symbol, tone"
119,U+1F3FF,🏿,,,missing,missing,,missing,missing,missing,missing,emoji modifier fitzpatrick type-6,V8.0ˣ,emoji,"emoji modifier, fitzpatrick, skin, symbol, tone"
120,U+1F4AA,💪,,,,,,,missing,,,flexed biceps,V6.0ʲ,emoji,"biceps, body, comic, flex, muscle, person"
121,U+1F448,👈,,,,,,,missing,,,white left pointing backhand index,V6.0ʲʷ,emoji,"backhand, body, finger, hand, index, person, point"
122,U+1F449,👉,,,,,,,missing,,,white right pointing backhand index,V6.0ʲʷ,emoji,"backhand, body, finger, hand, index, person, point"
123,U+261D,☝️,,,,,,,missing,,,white up pointing index,V1.1ʲʷ,text*,"body, finger, hand, index, person, point, up"
124,U+1F446,👆,,,,,,,missing,,,white up pointing backhand index,V6.0ʲʷ,emoji,"backhand, body, finger, hand, index, person, point, up"
125,U+1F595,🖕,,new 7.0,new 7.0,new 7.0,,new 7.0,new 7.0,new 7.0,new 7.0,reversed hand with middle finger extended,V7.0ˣ,emoji,"body, finger, hand, middle finger, person"
126,U+1F447,👇,,,,,,,missing,,,white down pointing backhand index,V6.0ʲʷ,emoji,"backhand, body, down, finger, hand, index, person, point"
127,U+270C,✌️,,,,,,,,,,victory hand,V1.1ᶻʲʷ,text*,"body, hand, person, v, victory"
128,U+1F596,🖖,,,new 7.0,new 7.0,,new 7.0,new 7.0,new 7.0,new 7.0,raised hand with part between middle and ring fingers,V7.0ˣ,emoji,"body, finger, hand, person, spock, vulcan"
